id,billing_code_type_version,billing_code,billing_code_type
4391897257951591497,2025,0001U,CPT
18401549046301367973,2025,0001,MS-DRG
7934594854012772827,2025,0002M,CPT
13969019075685194756,2025,0002U,CPT
14258195720410510375,2025,0002,MS-DRG
6913945527236530832,2025,0003M,CPT
10703589767578414723,2025,0003U,CPT
2050333060914057557,2025,0003,MS-DRG
1776220049477354229,2025,0004M,CPT
17404297319654537110,2025,0004,MS-DRG
17444316763685897709,2025,0005U,CPT
9919306562078401627,2025,0005,MS-DRG
8056540604817251801,2025,0006M,CPT
15448358322897952517,2025,0006,MS-DRG
